tmk,building_value,land_value,total_value,land_class,n
11021038,26000,732600,758600,RESIDENTIAL,1
11021039,253500,732600,986100,RESIDENTIAL,1
11021040,375400,806600,1182000,RESIDENTIAL,1
11021041,410400,732600,1143000,RESIDENTIAL,1
11021042,322400,752200,1074600,RESIDENTIAL,1
11021043,137200,740000,877200,RESIDENTIAL,1
11021044,569000,740000,1309000,RESIDENTIAL,1
11021045,154500,740000,894500,RESIDENTIAL,1
11021046,311500,740600,1052100,RESIDENTIAL A,1
11021047,22600,740000,762600,RESIDENTIAL,1
11021048,18200,740800,759000,RESIDENTIAL,1
11021049,102500,742900,845400,RESIDENTIAL,2
11021049,102500,742900,845400,RESIDENTIAL,2
11021050,152000,742200,894200,RESIDENTIAL,4
11021050,152000,742200,894200,RESIDENTIAL,4
11021050,152000,742200,894200,RESIDENTIAL,4
11021050,152000,742200,894200,RESIDENTIAL,4
11021051,35400,740200,775600,RESIDENTIAL,1
11021052,314000,752600,1066600,RESIDENTIAL,1
11021053,0,718800,718800,RESIDENTIAL,1
11021054,407900,757800,1165700,RESIDENTIAL A,1
11021055,140700,732600,873300,RESIDENTIAL,1
11021056,121200,732600,853800,RESIDENTIAL,1
11021057,71100,732600,803700,RESIDENTIAL,1
11021058,20700,555600,576300,RESIDENTIAL,1
11021059,32500,555500,588000,RESIDENTIAL,1
11021060,147800,555500,703300,RESIDENTIAL,1
11021061,24400,555500,579900,RESIDENTIAL,1
11021062,52100,758000,810100,RESIDENTIAL,1
11021063,69900,738800,808700,RESIDENTIAL,1
11021064,155600,725400,881000,RESIDENTIAL,1
11021065,126300,725200,851500,RESIDENTIAL,1
11021066,130500,725200,855700,RESIDENTIAL,1
11021067,205200,732600,937800,RESIDENTIAL,1
11021068,138400,740000,878400,RESIDENTIAL,1
11021069,45000,732600,777600,RESIDENTIAL,1
11021070,15300,732600,747900,RESIDENTIAL,1
11021071,222400,725200,947600,RESIDENTIAL,1
11021072,118400,740000,858400,RESIDENTIAL,1
11021073,239100,740000,979100,RESIDENTIAL,1
11021074,106500,732600,839100,RESIDENTIAL,1
11021075,391000,732600,1123600,RESIDENTIAL,1
11021076,44800,747100,791900,RESIDENTIAL,1
11021077,419600,892300,1311900,RESIDENTIAL A,1
11021078,241300,753000,994300,RESIDENTIAL,1
11021079,251500,740600,992100,RESIDENTIAL,1
11021080,33300,779700,813000,RESIDENTIAL,1
11021081,63200,745700,808900,RESIDENTIAL,1
11021082,358400,732700,1091100,RESIDENTIAL A,1
11021083,311900,732700,1044600,RESIDENTIAL,1
11021084,464800,808200,1273000,RESIDENTIAL,1
11021085,125400,808200,933600,RESIDENTIAL,1
11021086,102800,816400,919200,RESIDENTIAL,1
11021087,463200,905200,1368400,RESIDENTIAL,1
11021088,57900,906900,964800,RESIDENTIAL,1
11021089,244500,759800,1004300,RESIDENTIAL A,1
11021090,639300,740000,1379300,RESIDENTIAL,1
11021091,59500,740000,799500,RESIDENTIAL,1
11021092,225500,740000,965500,RESIDENTIAL,1
11021093,316800,732600,1049400,RESIDENTIAL,1
11021094,377000,732600,1109600,RESIDENTIAL,1
11021095,256200,740000,996200,RESIDENTIAL,1
11021096,86400,740000,826400,RESIDENTIAL,1
11021097,329400,740000,1069400,RESIDENTIAL A,1
11021098,494500,740000,1234500,RESIDENTIAL,1
11021099,327400,761800,1089200,RESIDENTIAL A,1
11021100,327500,827100,1154600,RESIDENTIAL,1
11021101,57300,787400,844700,RESIDENTIAL,1
11021102,259100,733500,992600,RESIDENTIAL,1
11021103,768800,755500,1524300,RESIDENTIAL,1
11021104,94300,831700,926000,RESIDENTIAL,1
11021105,175300,804300,979600,RESIDENTIAL,1
11021106,328300,764700,1093000,RESIDENTIAL A,1
11021107,294700,741000,1035700,RESIDENTIAL A,1
11021108,191000,733000,924000,RESIDENTIAL,1
11021109,286500,732800,1019300,RESIDENTIAL A,1
11021110,624600,806300,1430900,RESIDENTIAL,1
11021111,35700,786100,821800,RESIDENTIAL,1
11021112,123200,793400,916600,RESIDENTIAL,1
11021113,291400,807900,1099300,RESIDENTIAL,1
11021114,147200,740100,887300,RESIDENTIAL,1
11021115,576600,719900,1296500,RESIDENTIAL,1
11021116,179500,890500,1070000,RESIDENTIAL,1
11021117,479300,740000,1219300,RESIDENTIAL,3
11021117,479300,740000,1219300,RESIDENTIAL,3
11021117,479300,740000,1219300,RESIDENTIAL,3
11021118,143900,740000,883900,RESIDENTIAL,1
11021119,177900,740000,917900,RESIDENTIAL,1
11021120,133100,740000,873100,RESIDENTIAL,1
11021121,368000,740000,1108000,RESIDENTIAL A,1
11021122,67300,740600,807900,RESIDENTIAL,1
11021123,339000,740300,1079300,RESIDENTIAL,1
11021124,275200,741700,1016900,RESIDENTIAL A,1
11021125,72700,767000,839700,RESIDENTIAL,1
11022001,342800,732600,1075400,RESIDENTIAL,1
11022002,560500,732600,1293100,RESIDENTIAL,1
11022003,249100,740000,989100,RESIDENTIAL,1
11022004,345500,740000,1085500,RESIDENTIAL A,1
11022005,246400,740000,986400,RESIDENTIAL,1
11022006,212500,740000,952500,RESIDENTIAL,1
11022007,461800,732600,1194400,RESIDENTIAL,1
11022008,319500,732600,1052100,RESIDENTIAL,1
11022009,672600,740000,1412600,RESIDENTIAL,1
11022010,79300,740000,819300,RESIDENTIAL,1
11022011,188800,740000,928800,RESIDENTIAL,1
