tmk,building_value,land_value,total_value,land_class,n
99038072,99500,817400,916900,RESIDENTIAL,1
99038073,690200,818100,1508300,RESIDENTIAL A,1
99038074,743200,813400,1556600,RESIDENTIAL,1
99038075,89900,823000,912900,RESIDENTIAL,1
99038076,175700,812700,988400,RESIDENTIAL,1
99038077,32700,885200,917900,RESIDENTIAL,1
99038078,323100,737100,1060200,RESIDENTIAL,2
99038078,319900,762900,1082800,RESIDENTIAL A,2
99038083,176500,820800,997300,RESIDENTIAL,1
99038084,274500,847000,1121500,RESIDENTIAL,1
99038085,68100,903100,971200,RESIDENTIAL,1
99038086,76300,843600,919900,RESIDENTIAL,1
99039001,200600,818500,1019100,RESIDENTIAL,1
99039002,315000,849500,1164500,RESIDENTIAL,1
99039003,146400,853200,999600,RESIDENTIAL,2
99039003,146400,853200,999600,RESIDENTIAL,2
99039004,176100,889300,1065400,RESIDENTIAL,1
99039005,212400,1001900,1214300,RESIDENTIAL,1
99039006,356300,876800,1233100,RESIDENTIAL A,1
99039007,115100,798100,913200,RESIDENTIAL,1
99039008,90000,797400,887400,RESIDENTIAL,1
99039009,113100,796800,909900,RESIDENTIAL,1
99039010,87800,796300,884100,RESIDENTIAL,1
99039011,93700,795700,889400,RESIDENTIAL,1
99039012,129400,787100,916500,RESIDENTIAL,1
99039013,109800,794400,904200,RESIDENTIAL,1
99039014,142700,793800,936500,RESIDENTIAL,1
99039015,137300,793200,930500,RESIDENTIAL,1
99039016,248800,792600,1041400,RESIDENTIAL,1
99039017,181000,789200,970200,RESIDENTIAL,1
99039018,353400,794400,1147800,RESIDENTIAL,1
99039019,164800,809000,973800,RESIDENTIAL,1
99039020,115000,805500,920500,RESIDENTIAL,1
99039021,53100,806900,860000,RESIDENTIAL,1
99039022,129700,792100,921800,RESIDENTIAL,2
99039022,129700,792100,921800,RESIDENTIAL,2
99039023,92600,785400,878000,RESIDENTIAL,1
99039024,80500,778600,859100,RESIDENTIAL,1
99039025,228800,777300,1006100,RESIDENTIAL,1
99039026,42400,781500,823900,RESIDENTIAL,1
99039027,85400,793600,879000,RESIDENTIAL,1
99039028,346300,797800,1144100,RESIDENTIAL,1
99039029,204400,794000,998400,RESIDENTIAL,1
99039030,60200,798100,858300,RESIDENTIAL,1
99039031,124000,802300,926300,RESIDENTIAL,1
99039032,191300,882900,1074200,RESIDENTIAL A,1
99039033,139800,887900,1027700,RESIDENTIAL,1
99039034,221700,848400,1070100,RESIDENTIAL,1
99039035,110300,848400,958700,RESIDENTIAL,1
99039036,104400,848400,952800,RESIDENTIAL,1
99039037,258500,848400,1106900,RESIDENTIAL,1
99039038,132100,817500,949600,RESIDENTIAL,1
99039039,66800,784000,850800,RESIDENTIAL,1
99039041,63600,794900,858500,RESIDENTIAL,1
99039042,189900,803900,993800,RESIDENTIAL,1
99039043,223000,799200,1022200,RESIDENTIAL A,1
99039044,140200,786300,926500,RESIDENTIAL,1
99039045,112900,788800,901700,RESIDENTIAL,2
99039045,112900,788800,901700,RESIDENTIAL,2
99039046,110600,797000,907600,RESIDENTIAL,1
99039047,447100,814000,1261100,RESIDENTIAL,1
99039048,110800,834800,945600,RESIDENTIAL,1
99039049,311800,784200,1096000,RESIDENTIAL,1
99039050,162900,784000,946900,RESIDENTIAL,1
99039051,472100,776200,1248300,RESIDENTIAL A,1
99039052,125900,776200,902100,RESIDENTIAL,1
99039053,58900,776200,835100,RESIDENTIAL,1
99039054,136300,776200,912500,RESIDENTIAL,2
99039054,136300,776200,912500,RESIDENTIAL,2
99039055,109400,776200,885600,RESIDENTIAL,1
99039056,254200,784000,1038200,RESIDENTIAL A,1
99039057,260500,1568000,1828500,RESIDENTIAL A,1
99039059,94800,784300,879100,RESIDENTIAL,1
99039060,173500,796900,970400,RESIDENTIAL,1
99039063,32300,868400,900700,RESIDENTIAL,1
99039064,542600,1399600,1942200,RESIDENTIAL A,1
99039065,146700,968200,1114900,RESIDENTIAL,1
99039066,42500,820100,862600,RESIDENTIAL,1
99039067,167200,854600,1021800,RESIDENTIAL A,1
99039068,119000,882800,1001800,RESIDENTIAL,1
99039069,129500,1033900,1163400,RESIDENTIAL,1
99039070,291600,855800,1147400,RESIDENTIAL A,1
99039071,90800,859300,950100,RESIDENTIAL,1
99039072,98500,858700,957200,RESIDENTIAL,1
99039073,64900,1000000,1064900,RESIDENTIAL,1
99039074,144200,951900,1096100,RESIDENTIAL,1
99039075,55700,833600,889300,RESIDENTIAL,1
99039076,328100,926800,1254900,RESIDENTIAL,1
99039082,118600,833600,952200,RESIDENTIAL,1
99039083,51900,863600,915500,RESIDENTIAL,1
99039084,122600,865600,988200,RESIDENTIAL,1
99039085,105300,793700,899000,RESIDENTIAL,1
99040003,84700,876100,960800,RESIDENTIAL,1
99040004,653200,868100,1521300,RESIDENTIAL,1
99040005,627600,866100,1493700,RESIDENTIAL,1
99040006,61900,866000,927900,RESIDENTIAL,1
99040007,356900,857300,1214200,RESIDENTIAL A,1
99040008,303700,881200,1184900,RESIDENTIAL A,1
99040009,0,873800,873800,RESIDENTIAL,2
99040009,0,873800,873800,RESIDENTIAL,2
99040010,917200,1001000,1918200,RESIDENTIAL A,1
99040011,48500,831600,880100,RESIDENTIAL,1
99040012,263700,828200,1091900,RESIDENTIAL A,1
99040013,164400,867800,1032200,RESIDENTIAL,1
99040014,74700,891500,966200,RESIDENTIAL,1
99040015,310700,982400,1293100,RESIDENTIAL,1
99040017,30700,894900,925600,RESIDENTIAL,1
99040018,299300,898500,1197800,RESIDENTIAL A,1
99040019,106800,1233900,1340700,RESIDENTIAL,1
99040020,155900,960200,1116100,RESIDENTIAL,1
99040021,929600,960000,1889600,RESIDENTIAL,1
99040022,477500,827400,1304900,RESIDENTIAL,1
99040023,64400,853200,917600,RESIDENTIAL,1
99040024,657300,872300,1529600,RESIDENTIAL,1
99040025,176200,833900,1010100,RESIDENTIAL A,1
99040026,521100,817800,1338900,RESIDENTIAL,1
99040027,338700,862700,1201400,RESIDENTIAL A,1
99040028,44900,845500,890400,RESIDENTIAL,1
99040029,474400,843300,1317700,RESIDENTIAL,1
99040030,139900,825600,965500,RESIDENTIAL,1
99040031,401700,834500,1236200,RESIDENTIAL,1
99040032,202700,674600,877300,RESIDENTIAL,1
99040033,40600,829200,869800,RESIDENTIAL,1
99040034,137000,845600,982600,RESIDENTIAL,1
99040035,330600,788100,1118700,RESIDENTIAL,1
99040037,80400,818400,898800,RESIDENTIAL,1
99040038,203900,840000,1043900,RESIDENTIAL,1
99040039,111700,840000,951700,RESIDENTIAL,1
99040040,315600,831600,1147200,RESIDENTIAL,1
99040041,504000,815400,1319400,RESIDENTIAL,1
99040042,226900,901000,1127900,RESIDENTIAL A,1
99040043,721800,863800,1585600,RESIDENTIAL,1
99040044,380000,851600,1231600,RESIDENTIAL,1
99040045,451000,847900,1298900,RESIDENTIAL,1
99040046,309600,813000,1122600,RESIDENTIAL,1
99040047,63600,841300,904900,RESIDENTIAL,1
99040048,115900,796500,912400,RESIDENTIAL,1
99040049,449900,809600,1259500,RESIDENTIAL A,1
99040050,106700,839400,946100,RESIDENTIAL,2
99040050,106700,839400,946100,RESIDENTIAL,2
99040053,3159900,1787500,4947400,RESIDENTIAL,1
99040056,0,235200,235200,RESIDENTIAL,2
99040056,0,235200,235200,RESIDENTIAL,2
99040063,0,909900,909900,RESIDENTIAL,1
99040064,322300,879900,1202200,RESIDENTIAL,1
99041001,431800,697200,1129000,RESIDENTIAL A,2
99041001,382100,753600,1135700,RESIDENTIAL A,2
99041002,222900,960000,1182900,RESIDENTIAL,1
99041003,106400,960000,1066400,RESIDENTIAL A,1
99041004,298900,960000,1258900,RESIDENTIAL,1
99041005,135100,960000,1095100,RESIDENTIAL A,1
99041006,64400,960000,1024400,RESIDENTIAL,1
99041007,175600,960000,1135600,RESIDENTIAL,1
99041008,661200,959200,1620400,RESIDENTIAL A,1
99041009,55400,928000,983400,RESIDENTIAL,1
99041010,0,810000,810000,RESIDENTIAL,1
99041013,94900,872400,967300,RESIDENTIAL,1
99041015,142100,1012900,1155000,RESIDENTIAL A,1
99041016,142600,935400,1078000,RESIDENTIAL,1
99041017,358400,898000,1256400,RESIDENTIAL A,1
99041018,347100,980500,1327600,RESIDENTIAL,1
99041019,257500,883800,1141300,RESIDENTIAL,1
99041020,106600,898000,1004600,RESIDENTIAL A,1
99041021,410400,888000,1298400,RESIDENTIAL,1
99041022,135000,874500,1009500,RESIDENTIAL,2
99041022,135000,874500,1009500,RESIDENTIAL,2
99041024,770600,848500,1619100,RESIDENTIAL,1
99041025,36200,809100,845300,RESIDENTIAL,1
99041026,60300,823100,883400,RESIDENTIAL,1
99041027,771900,828000,1599900,RESIDENTIAL,1
99041028,111000,824600,935600,RESIDENTIAL,1
99041030,119700,805600,925300,RESIDENTIAL,1
99041031,79100,809000,888100,RESIDENTIAL,1
99041032,56000,811400,867400,RESIDENTIAL,1
99041033,38400,814400,852800,RESIDENTIAL,1
99041034,325200,801200,1126400,RESIDENTIAL A,1
99041038,221100,874300,1095400,RESIDENTIAL A,1
99041040,138600,779800,918400,RESIDENTIAL,1
99041041,53600,749300,802900,RESIDENTIAL,1
99041042,52000,803800,855800,RESIDENTIAL,1
99041043,180900,795700,976600,RESIDENTIAL,3
99041043,180900,795700,976600,RESIDENTIAL,3
99041043,180900,795700,976600,RESIDENTIAL,3
99041044,260800,824200,1085000,RESIDENTIAL A,1
99041045,90200,1195100,1285300,RESIDENTIAL A,1
99041047,0,1104200,1104200,RESIDENTIAL A,1
99041048,68400,803300,871700,RESIDENTIAL,1
99041049,176500,800800,977300,RESIDENTIAL,1
99041054,59200,704500,763700,RESIDENTIAL,1
99041055,94600,667600,762200,RESIDENTIAL,1
99041056,64300,707500,771800,RESIDENTIAL,1
99041057,0,720000,720000,RESIDENTIAL,1
99042001,129000,759500,888500,RESIDENTIAL,1
99042002,59200,792300,851500,RESIDENTIAL,1
99042003,242600,807600,1050200,RESIDENTIAL,1
99042004,396400,793900,1190300,RESIDENTIAL,1
99042005,235300,804900,1040200,RESIDENTIAL A,2
99042005,235300,804900,1040200,RESIDENTIAL A,2
99042006,181700,794600,976300,RESIDENTIAL,1
99042007,936400,885300,1821700,RESIDENTIAL,1
99042009,288200,791300,1079500,RESIDENTIAL A,1
99042018,189600,794500,984100,RESIDENTIAL,1
99042029,30100,860100,890200,RESIDENTIAL,1
99042030,428800,781600,1210400,RESIDENTIAL,1
99042034,699200,1669900,2369100,RESIDENTIAL,1
99042041,574300,781400,1355700,RESIDENTIAL,1
99042042,98100,756600,854700,RESIDENTIAL,1
99042043,15300,761600,776900,RESIDENTIAL,1
99042044,160700,785100,945800,RESIDENTIAL,1
99042045,293300,785100,1078400,RESIDENTIAL A,1
99042046,169000,790300,959300,RESIDENTIAL,1
99042047,349500,804300,1153800,RESIDENTIAL A,1
99042048,358800,800000,1158800,RESIDENTIAL A,1
99042049,258400,792000,1050400,RESIDENTIAL A,1
99042050,92600,784300,876900,RESIDENTIAL,1
99042053,191500,784900,976400,RESIDENTIAL,2
99042053,191500,784900,976400,RESIDENTIAL,2
99042054,182100,816100,998200,RESIDENTIAL,1
99042055,226500,784500,1011000,RESIDENTIAL,1
99042056,185000,801200,986200,RESIDENTIAL,1
99042057,45400,714700,760100,RESIDENTIAL,1
99043004,28700,789100,817800,RESIDENTIAL,1
99043005,59300,784000,843300,RESIDENTIAL,1
99043006,53600,787000,840600,RESIDENTIAL,2
99043006,53600,787000,840600,RESIDENTIAL,2
99043017,503400,1117800,1621200,RESIDENTIAL,1
99043018,31200,784000,815200,RESIDENTIAL,1
99043019,69900,787000,856900,RESIDENTIAL,1
99043020,554600,500100,1054700,RESIDENTIAL,2
99043020,513400,500100,1013500,RESIDENTIAL A,2
99043021,281800,784000,1065800,RESIDENTIAL,1
99043022,104500,787000,891500,RESIDENTIAL,1
99043024,753800,992400,1746200,RESIDENTIAL A,1
99043025,362700,787000,1149700,RESIDENTIAL A,2
99043025,362700,787000,1149700,RESIDENTIAL A,2
99043026,521100,999700,1520800,RESIDENTIAL,1
99043027,145600,954300,1099900,RESIDENTIAL,1
99043028,97500,1011100,1108600,RESIDENTIAL,2
99043028,97500,1011100,1108600,RESIDENTIAL,2
99043029,790900,3404900,4195800,RESIDENTIAL,1
99043031,299300,873400,1172700,RESIDENTIAL,1
99043032,130900,800000,930900,RESIDENTIAL,1
99043033,100400,805200,905600,RESIDENTIAL,1
99043034,161800,850800,1012600,RESIDENTIAL A,1
99043035,93000,844500,937500,RESIDENTIAL,1
99043036,147800,881000,1028800,RESIDENTIAL,1
99043037,473200,784900,1258100,RESIDENTIAL,1
99043038,216400,777100,993500,RESIDENTIAL,1
99043039,301800,777100,1078900,RESIDENTIAL,1
99043040,86100,796600,882700,RESIDENTIAL,1
99043041,251700,796600,1048300,RESIDENTIAL A,1
99043042,199500,796600,996100,RESIDENTIAL,1
99043043,193100,793900,987000,RESIDENTIAL,4
99043043,193100,793900,987000,RESIDENTIAL,4
99043043,193100,793900,987000,RESIDENTIAL,4
99043043,193100,793900,987000,RESIDENTIAL,4
99043044,528500,851500,1380000,RESIDENTIAL A,1
99043047,219500,813300,1032800,RESIDENTIAL A,1
99043048,125500,814000,939500,RESIDENTIAL,1
99043049,131300,800600,931900,RESIDENTIAL,1
99043050,154200,792500,946700,RESIDENTIAL,1
99043051,286800,792500,1079300,RESIDENTIAL A,1
99043052,245600,800600,1046200,RESIDENTIAL A,1
99043053,101600,800600,902200,RESIDENTIAL,1
99043054,91800,811200,903000,RESIDENTIAL,1
99043055,174100,850400,1024500,RESIDENTIAL,1
99044001,0,746700,746700,RESIDENTIAL,1
99044002,389500,803900,1193400,RESIDENTIAL A,1
99044003,80500,832200,912700,RESIDENTIAL,2
99044003,80500,832200,912700,RESIDENTIAL,2
99044004,43500,828400,871900,RESIDENTIAL,1
99044005,56100,775700,831800,RESIDENTIAL,1
99044006,43400,603000,646400,RESIDENTIAL,1
99044007,116000,809500,925500,RESIDENTIAL,1
99044008,214600,809500,1024100,RESIDENTIAL A,1
99044009,471700,803600,1275300,RESIDENTIAL,1
99044010,88600,822400,911000,RESIDENTIAL,1
99044011,35400,823100,858500,RESIDENTIAL,1
99044012,475100,835000,1310100,RESIDENTIAL A,1
99044013,226600,920400,1147000,RESIDENTIAL A,1
99044014,238600,819800,1058400,RESIDENTIAL A,1
99044015,120000,814900,934900,RESIDENTIAL,1
99044016,488000,793600,1281600,RESIDENTIAL,1
99044017,154200,781000,935200,RESIDENTIAL,1
99044019,96500,670300,766800,RESIDENTIAL,2
99044019,96500,670300,766800,RESIDENTIAL,2
99044023,136300,682100,818400,RESIDENTIAL,1
99044025,365700,622600,988300,RESIDENTIAL,1
99044026,396300,544800,941100,RESIDENTIAL,1
99044028,672000,746700,1418700,RESIDENTIAL,1
99044029,288600,660500,949100,RESIDENTIAL,1
99044030,111200,618300,729500,RESIDENTIAL,1
99044031,111400,765400,876800,RESIDENTIAL,1
99044033,113100,774700,887800,RESIDENTIAL,1
99044034,134600,802100,936700,RESIDENTIAL,1
99044035,194800,787600,982400,RESIDENTIAL,1
99044036,60200,782300,842500,RESIDENTIAL,1
99044037,106300,795500,901800,RESIDENTIAL,1
99044038,214700,823300,1038000,RESIDENTIAL,1
99044039,398800,824400,1223200,RESIDENTIAL,1
99044040,598400,805200,1403600,RESIDENTIAL A,1
99044043,173900,863200,1037100,RESIDENTIAL,1
99044044,195600,873800,1069400,RESIDENTIAL,1
99044045,311700,845000,1156700,RESIDENTIAL,1
99044046,0,829600,829600,RESIDENTIAL,1
99044047,124000,1429600,1553600,RESIDENTIAL,1
99044048,172800,805300,978100,RESIDENTIAL,1
99044049,365300,800300,1165600,RESIDENTIAL,1
99044050,307900,789600,1097500,RESIDENTIAL,2
99044050,307900,789600,1097500,RESIDENTIAL,2
99044051,317600,789600,1107200,RESIDENTIAL,1
99044052,480200,799200,1279400,RESIDENTIAL A,1
99044053,123300,796700,920000,RESIDENTIAL,1
99044054,116200,803500,919700,RESIDENTIAL,1
99044055,79000,809000,888000,RESIDENTIAL,1
99044056,214200,809000,1023200,RESIDENTIAL,1
99044057,201800,850600,1052400,RESIDENTIAL A,1
99044058,518700,823400,1342100,RESIDENTIAL,1
99044059,135000,801000,936000,RESIDENTIAL,1
99044060,297300,800200,1097500,RESIDENTIAL,1
99044061,365000,766500,1131500,RESIDENTIAL,1
99044062,242800,800000,1042800,RESIDENTIAL A,1
99044065,71700,761700,833400,RESIDENTIAL,1
99044067,415300,784800,1200100,RESIDENTIAL A,1
99044068,75500,767300,842800,RESIDENTIAL,1
99044071,113400,615500,728900,RESIDENTIAL,2
99044071,113400,615500,728900,RESIDENTIAL,2
99044072,133700,670000,803700,RESIDENTIAL,2
99044072,113200,670000,783200,RESIDENTIAL,2
99044073,94600,674000,768600,RESIDENTIAL,2
99044073,119900,674000,793900,RESIDENTIAL,2
99045001,120700,1092600,1213300,RESIDENTIAL A,1
99045002,92400,1029800,1122200,RESIDENTIAL A,1
99045003,185300,1027300,1212600,RESIDENTIAL,1
99045004,319500,1225200,1544700,RESIDENTIAL A,1
99045005,96400,1170900,1267300,RESIDENTIAL,1
99045006,257900,1049400,1307300,RESIDENTIAL,1
99045007,254300,1107800,1362100,RESIDENTIAL,1
99045008,223500,1173800,1397300,RESIDENTIAL,1
99045009,192000,1041300,1233300,RESIDENTIAL,1
99045010,307100,1040400,1347500,RESIDENTIAL,1
99045011,102400,1025900,1128300,RESIDENTIAL,1
99045012,145900,1025900,1171800,RESIDENTIAL,1
99045013,213800,1026000,1239800,RESIDENTIAL A,1
99045014,144400,1026000,1170400,RESIDENTIAL A,1
99045015,151500,1026000,1177500,RESIDENTIAL,1
99045016,104900,1026000,1130900,RESIDENTIAL A,1
99045017,160500,1026000,1186500,RESIDENTIAL,1
99045018,112000,1026000,1138000,RESIDENTIAL,1
99045019,156600,1033800,1190400,RESIDENTIAL A,1
99045020,158400,1027500,1185900,RESIDENTIAL,1
99045021,169300,1011800,1181100,RESIDENTIAL A,1
99045022,117300,1011800,1129100,RESIDENTIAL,1
99045023,673600,1011800,1685400,RESIDENTIAL,1
99045024,157900,1011800,1169700,RESIDENTIAL,1
99045025,125100,1011800,1136900,RESIDENTIAL,1
99045026,138600,1011800,1150400,RESIDENTIAL,1
99045027,370300,1011800,1382100,RESIDENTIAL A,1
99045028,481600,1011800,1493400,RESIDENTIAL,1
99045029,167700,1011800,1179500,RESIDENTIAL A,1
99045030,133500,1011800,1145300,RESIDENTIAL,1
99045031,76400,980600,1057000,RESIDENTIAL,1
99045032,110400,988300,1098700,RESIDENTIAL,1
99045033,330600,1012000,1342600,RESIDENTIAL,1
99045034,353600,1011800,1365400,RESIDENTIAL A,1
99045035,418200,1011800,1430000,RESIDENTIAL,1
99045036,124100,1011800,1135900,RESIDENTIAL,1
99045037,101900,1011800,1113700,RESIDENTIAL,1
99045038,277600,1011800,1289400,RESIDENTIAL,1
99045039,150700,1011800,1162500,RESIDENTIAL,1
99045040,85700,1011800,1097500,RESIDENTIAL A,1
99045041,152200,1011800,1164000,RESIDENTIAL,1
99045042,194600,1011800,1206400,RESIDENTIAL A,1
99045043,332700,1011800,1344500,RESIDENTIAL A,1
99045044,394800,1027500,1422300,RESIDENTIAL,1
99045045,281800,1027500,1309300,RESIDENTIAL,1
99045046,224400,1011800,1236200,RESIDENTIAL,1
99045047,319800,1011800,1331600,RESIDENTIAL,1
99045048,178600,1011800,1190400,RESIDENTIAL,1
99045049,96100,1011800,1107900,RESIDENTIAL,1
99045050,217900,1011800,1229700,RESIDENTIAL,1
99045051,327300,1011800,1339100,RESIDENTIAL,1
99045052,127800,1011800,1139600,RESIDENTIAL,1
99045053,144000,1011800,1155800,RESIDENTIAL,2
99045053,144000,1011800,1155800,RESIDENTIAL,2
99045054,149700,1011800,1161500,RESIDENTIAL A,1
99045055,264300,1011800,1276100,RESIDENTIAL,1
99045056,211200,1108700,1319900,RESIDENTIAL,1
99045057,165600,1169600,1335200,RESIDENTIAL,1
99045058,94800,1158100,1252900,RESIDENTIAL,1
99045059,149400,1011800,1161200,RESIDENTIAL,1
99045060,477900,1011800,1489700,RESIDENTIAL,1
99045061,320900,1011800,1332700,RESIDENTIAL,1
99045062,170700,1011800,1182500,RESIDENTIAL A,1
99045063,274000,1011800,1285800,RESIDENTIAL,1
99045064,91000,1011800,1102800,RESIDENTIAL,1
99045065,121400,1011800,1133200,RESIDENTIAL A,1
99045066,416600,1011800,1428400,RESIDENTIAL,1
99045067,351800,1011800,1363600,RESIDENTIAL,1
99045068,412700,1011800,1424500,RESIDENTIAL,2
99045068,412700,1011800,1424500,RESIDENTIAL,2
99045069,107900,1027500,1135400,RESIDENTIAL A,1
99045070,456300,1025000,1481300,RESIDENTIAL,1
99045071,155000,1046800,1201800,RESIDENTIAL,1
99045072,334900,1061600,1396500,RESIDENTIAL,1
99045073,179900,1070200,1250100,RESIDENTIAL,1
99045074,860300,1062700,1923000,RESIDENTIAL A,1
99045075,554400,1064300,1618700,RESIDENTIAL,1
99045076,232400,1098600,1331000,RESIDENTIAL A,1
99045077,102000,1032700,1134700,RESIDENTIAL,1
99045078,729300,1215000,1944300,RESIDENTIAL,1
99045079,79200,1039200,1118400,RESIDENTIAL,1
99045080,100900,987900,1088800,RESIDENTIAL,1
99045081,189700,987900,1177600,RESIDENTIAL,1
99045082,76400,987900,1064300,RESIDENTIAL A,1
99045083,486300,987900,1474200,RESIDENTIAL A,1
99045084,180400,997900,1178300,RESIDENTIAL,1
99045085,739100,1012100,1751200,RESIDENTIAL A,1
99045086,235300,997500,1232800,RESIDENTIAL,1
99045087,493200,1017200,1510400,RESIDENTIAL,1
99045088,134300,1035500,1169800,RESIDENTIAL,1
99045089,158700,1048800,1207500,RESIDENTIAL A,1
99045090,133400,1046900,1180300,RESIDENTIAL,1
99045091,164600,1004400,1169000,RESIDENTIAL,1
99045092,152200,1032600,1184800,RESIDENTIAL,1
99045093,115600,1177200,1292800,RESIDENTIAL A,1
99045094,178900,1100400,1279300,RESIDENTIAL,2
99045094,178900,1100400,1279300,RESIDENTIAL,2
99045095,109900,995600,1105500,RESIDENTIAL,1
99045096,230100,1186700,1416800,RESIDENTIAL,1
99045097,98100,1026100,1124200,RESIDENTIAL,1
99045098,163300,1026100,1189400,RESIDENTIAL,1
99045099,216100,1026100,1242200,RESIDENTIAL A,1
99045100,419200,1015800,1435000,RESIDENTIAL,1
99045101,112800,1026100,1138900,RESIDENTIAL A,1
99045102,99200,1026100,1125300,RESIDENTIAL A,1
99045103,73700,1026100,1099800,RESIDENTIAL A,2
99045103,73700,1026100,1099800,RESIDENTIAL A,2
99045104,88600,1026100,1114700,RESIDENTIAL,1
99045105,341000,1026000,1367000,RESIDENTIAL,1
99045106,337400,1033600,1371000,RESIDENTIAL,1
99045109,119500,1104300,1223800,RESIDENTIAL,1
99045111,119700,1004700,1124400,RESIDENTIAL A,1
99045112,196500,883600,1080100,RESIDENTIAL A,2
99045112,203100,908300,1111400,RESIDENTIAL,2
99045113,387500,1474900,1862400,RESIDENTIAL A,1
99045114,281100,1072200,1353300,RESIDENTIAL A,1
99045115,524100,1042200,1566300,RESIDENTIAL,1
99045116,277400,1023000,1300400,RESIDENTIAL,1
99045117,208100,1048500,1256600,RESIDENTIAL,1
99046001,88400,1032500,1120900,RESIDENTIAL A,1
99046002,146700,1015700,1162400,RESIDENTIAL,1
99046003,74700,1015700,1090400,RESIDENTIAL,1
99046004,95600,1015700,1111300,RESIDENTIAL A,1
99046005,171800,1015700,1187500,RESIDENTIAL,1
99046006,323600,1032000,1355600,RESIDENTIAL,1
99046007,137400,1082100,1219500,RESIDENTIAL,1
99046008,294300,1067500,1361800,RESIDENTIAL A,1
99046009,307900,1005300,1313200,RESIDENTIAL,1
99046010,198000,985000,1183000,RESIDENTIAL,1
99046011,74700,1015700,1090400,RESIDENTIAL,1
99046012,99400,1015700,1115100,RESIDENTIAL,1
99046013,515100,1015700,1530800,RESIDENTIAL,1
99046014,433700,1068900,1502600,RESIDENTIAL A,1
99046015,348100,1184900,1533000,RESIDENTIAL,1
99046016,65700,857400,923100,RESIDENTIAL,2
99046016,367800,914100,1281900,RESIDENTIAL,2
99046017,120600,1056100,1176700,RESIDENTIAL,1
99046018,223900,1015700,1239600,RESIDENTIAL,1
99046019,708400,1015700,1724100,RESIDENTIAL,1
99046020,304700,1108900,1413600,RESIDENTIAL,1
99046021,0,1108900,1108900,RESIDENTIAL A,1
99046022,173100,1015700,1188800,RESIDENTIAL A,1
99046023,140400,994400,1134800,RESIDENTIAL,1
99046024,116100,997500,1113600,RESIDENTIAL,1
99046025,121800,1072200,1194000,RESIDENTIAL,1
99046026,128700,1072200,1200900,RESIDENTIAL A,1
99046027,98100,997500,1095600,RESIDENTIAL,1
99046028,180000,997500,1177500,RESIDENTIAL,1
99046029,451700,997500,1449200,RESIDENTIAL,1
99046030,281700,997600,1279300,RESIDENTIAL,1
99046031,113100,984900,1098000,RESIDENTIAL,1
99046032,119800,987500,1107300,RESIDENTIAL,2
99046032,119800,987500,1107300,RESIDENTIAL,2
99046033,450200,987500,1437700,RESIDENTIAL,1
99046034,221700,987500,1209200,RESIDENTIAL,1
99046035,417300,984200,1401500,RESIDENTIAL,1
99046036,88700,986400,1075100,RESIDENTIAL,1
99046037,90200,985300,1075500,RESIDENTIAL,1
99046038,206800,989000,1195800,RESIDENTIAL,1
99046039,361200,1008300,1369500,RESIDENTIAL,1
99046040,263700,1044300,1308000,RESIDENTIAL,1
99046041,298200,1111000,1409200,RESIDENTIAL,1
99046042,591900,1151200,1743100,RESIDENTIAL A,1
99046043,176900,1184500,1361400,RESIDENTIAL A,1
99046044,214200,1155900,1370100,RESIDENTIAL,1
99046045,138900,1044100,1183000,RESIDENTIAL,1
99046046,191400,1086100,1277500,RESIDENTIAL,1
99046047,365300,1158500,1523800,RESIDENTIAL,1
99046048,99100,1053100,1152200,RESIDENTIAL,1
99046049,336400,1024400,1360800,RESIDENTIAL,1
99046050,255000,1058000,1313000,RESIDENTIAL A,1
99046051,107200,1047300,1154500,RESIDENTIAL,2
99046051,107200,1047300,1154500,RESIDENTIAL,2
99046052,278400,1312800,1591200,RESIDENTIAL A,1
99046053,110800,1121500,1232300,RESIDENTIAL A,1
99046054,183500,1017100,1200600,RESIDENTIAL,1
99046055,80000,1045200,1125200,RESIDENTIAL A,1
99046056,145700,1013300,1159000,RESIDENTIAL A,1
99046057,143700,1051500,1195200,RESIDENTIAL,1
99046058,92000,1075000,1167000,RESIDENTIAL,1
99046059,102900,1130600,1233500,RESIDENTIAL,1
99046060,190200,1172500,1362700,RESIDENTIAL,1
99046061,435500,1044700,1480200,RESIDENTIAL,1
99046062,119800,997500,1117300,RESIDENTIAL,1
99046063,143800,997500,1141300,RESIDENTIAL A,1
99046064,354900,997500,1352400,RESIDENTIAL,1
99046065,90900,997500,1088400,RESIDENTIAL,1
99046066,115300,1019200,1134500,RESIDENTIAL,1
99046067,152800,1037900,1190700,RESIDENTIAL,1
99046068,98300,997500,1095800,RESIDENTIAL,1
99046069,343700,1022900,1366600,RESIDENTIAL A,1
99046070,1813900,2052800,3866700,RESIDENTIAL,1
99047001,100700,1021000,1121700,RESIDENTIAL,1
99047002,31300,1024600,1055900,RESIDENTIAL,1
99047003,105600,1015700,1121300,RESIDENTIAL A,1
99047004,426200,1015700,1441900,RESIDENTIAL,1
99047005,93600,1015700,1109300,RESIDENTIAL,1
99047006,334500,1015700,1350200,RESIDENTIAL,1
99047007,101300,1015700,1117000,RESIDENTIAL A,1
99047008,220500,1015700,1236200,RESIDENTIAL,1
99047009,398000,1044900,1442900,RESIDENTIAL,1
99047010,792800,900500,1693300,RESIDENTIAL A,2
