tmk,year_tce,total_value,public_costce_discounted
61010001,2030,3422600,2605135.6854657247
61010002,2030,3068300,2349676.2386000394
61010004,2030,2783700,2173379.7125501125
61010006,2075,4253200,823341.6340250083
61010007,2050,3403000,1494424.7120459417
61010008,2050,3336000,1480458.813893019
61010009,2075,4911300,1010199.3346801148
61010010,2075,3047100,621911.5179403444
61010011,2075,4060200,849279.5080251637
61010012,2075,1745400,340857.23461078963
61010013,2050,4138000,1889704.7126326407
61010014,2075,4490200,913111.6659603724
61010015,2075,4486900,905117.4635773379
61010016,2075,4403800,898261.4160854846
61012001,2024,3037100,2746116.0640000002
61012002,2024,2868200,2524916.4734
61012004,2024,2924000,2613354.24
61012005,2024,2236800,1999888.9634
61012006,2050,2706300,1034766.1798897797
61012007,2024,2940800,2714252.8512
61012008,2075,2680300,423789.24046589545
61012009,2030,3053700,2406623.8595691253
61012010,2030,2602000,2007038.765526796
61012012,2024,2953400,2498681.9345
61012015,2030,2497600,1777468.2634668448
61012017,2024,3944000,3620432.432
61012019,2050,3868300,1431681.533569611
61012021,2050,4960700,1974006.3237149564
61012023,2030,4097500,3093471.6937754233
61012025,2030,3687500,2755037.6851690128
61012032,2030,4254400,3322222.8912681923
61012033,2050,3329100,1492877.2658282816
61012034,2050,2992800,1236563.323488365
61012035,2024,4210600,4000551.259
61012036,2100,1154900,52267.907502291186
61012037,2024,2797300,2387554.0063
61012038,2050,2574600,983788.2289193996
61012039,2024,2738400,2441526.15
66006010,2024,2480900,2378867.738
66030029,2024,2060500,1908943.9936
66030031,2024,1965000,1815133.2816
66030034,2030,1886400,1469378.035702633
66030035,2050,1907400,781078.5128136273
66030036,2050,2164100,909635.7468952419
66030039,2075,2010600,411966.34111757943
66030040,2100,2069400,197778.26813036963
66031007,2100,1892900,187056.64063189944
66031008,2100,1986900,196179.27281679545
66031009,2100,2512500,251341.03099976998
67013001,2100,3330400,293790.7268385556
67013002,2075,2456300,504317.1479406415
67013003,2050,4825900,2139820.244035271
67013004,2075,3373300,673494.1264182702
67013020,2100,3421400,245921.3181531384
67013022,2030,2194700,1593272.6845635232
67013023,2030,2398600,1851822.9490682087
67013024,2030,2679000,2112639.7831426417
67013025,2030,2804800,2224775.623749643
67014018,2075,2302800,450753.68579623115
67014019,2075,2856000,572612.719449857
67014025,2075,2559700,497215.0338785095
67014026,2075,2760600,554022.7055805917
67014027,2050,2296400,987317.0657530326
67014028,2050,2560300,1096455.9530527396
67014029,2075,2456600,457152.5766033391
67014030,2075,2263000,433151.3540340877
67014031,2100,2332900,219342.953513152
67015038,2100,1782600,188549.25666852077
67015039,2030,2272100,1781532.4901461175
67015040,2024,1752700,1596237.0932
67015042,2030,1679400,1289022.722936171
67015043,2024,2424800,2293556.3142
67015046,2100,1485500,110223.10169125558
67015049,2024,1297500,1217097.8502
67015050,2024,2314600,2184392.5368999997
